New Flake ID,no,yes,Sum,N Analysts,variable
1,9,91,100,11,bulb
2,0,100,100,11,bulb
3,9,91,100,11,bulb
4,0,100,100,10,bulb
5,22,78,100,9,bulb
6,0,100,100,11,bulb
7,9,91,100,11,bulb
8,0,100,100,11,bulb
9,0,100,100,11,bulb
10,50,50,100,2,bulb
11,0,100,100,11,bulb
12,0,100,100,11,bulb
13,9,91,100,11,bulb
14,0,100,100,11,bulb
15,0,100,100,11,bulb
16,0,100,100,11,bulb
17,30,70,100,10,bulb
18,67,33,100,6,bulb
19,0,100,100,10,bulb
20,0,100,100,10,bulb
21,50,50,100,8,bulb
22,0,100,100,11,bulb
23,0,100,100,11,bulb
24,9,91,100,11,bulb
25,0,100,100,11,bulb
26,0,100,100,10,bulb
27,40,60,100,5,bulb
28,0,100,100,10,bulb
29,9,91,100,11,bulb
30,0,100,100,11,bulb
31,0,100,100,11,bulb
32,0,100,100,11,bulb
33,0,100,100,11,bulb
34,20,80,100,10,bulb
35,0,100,100,11,bulb
36,50,50,100,10,bulb
37,0,100,100,11,bulb
38,0,100,100,11,bulb
39,0,100,100,11,bulb
40,18,82,100,11,bulb
41,9,91,100,11,bulb
42,78,22,100,9,bulb
43,0,100,100,11,bulb
44,9,91,100,11,bulb
45,0,100,100,11,bulb
46,9,91,100,11,bulb
47,75,25,100,4,bulb
48,100,0,100,1,bulb
49,0,100,100,11,bulb
50,NA,NA,NA,0,bulb
51,11,89,100,9,bulb
52,50,50,100,6,bulb
53,0,100,100,11,bulb
54,0,100,100,11,bulb
55,0,100,100,10,bulb
56,0,100,100,10,bulb
57,0,100,100,11,bulb
58,0,100,100,11,bulb
59,0,100,100,11,bulb
60,0,100,100,9,bulb
61,0,100,100,11,bulb
62,0,100,100,10,bulb
63,10,90,100,10,bulb
64,0,100,100,10,bulb
65,0,100,100,11,bulb
66,0,100,100,11,bulb
67,50,50,100,10,bulb
68,0,100,100,11,bulb
69,0,100,100,11,bulb
70,9,91,100,11,bulb
71,0,100,100,11,bulb
72,0,100,100,11,bulb
73,0,100,100,11,bulb
74,0,100,100,10,bulb
75,0,100,100,11,bulb
76,0,100,100,11,bulb
77,0,100,100,11,bulb
78,0,100,100,11,bulb
79,0,100,100,11,bulb
80,67,33,100,9,bulb
81,NA,NA,NA,0,bulb
82,0,100,100,11,bulb
83,0,100,100,11,bulb
84,0,100,100,11,bulb
85,100,0,100,7,bulb
86,0,100,100,11,bulb
87,100,0,100,2,bulb
88,0,100,100,1,bulb
90,0,100,100,11,bulb
91,0,100,100,11,bulb
92,80,20,100,5,bulb
93,9,91,100,11,bulb
94,NA,NA,NA,0,bulb
95,NA,NA,NA,0,bulb
96,0,100,100,11,bulb
98,100,0,100,3,bulb
99,NA,NA,NA,0,bulb