"New Flake ID","Bidirectional","Centripetal","Indeterminate","Multidirectional","Orthogonal","Other","Subcentripetal","Unibi","Unidirectional","UnidirectionalConvergent","Sum","N Analysts","variable"
"1",0,0,29,0,0,29,0,0,43,0,101,7,"directionality"
"2",0,20,10,0,0,0,10,10,10,40,100,10,"directionality"
"3",20,0,20,0,0,40,20,0,0,0,100,5,"directionality"
"4",0,0,18,0,45,0,0,0,36,0,99,11,"directionality"
"5",0,0,18,0,0,9,0,0,73,0,100,11,"directionality"
"6",0,45,0,9,0,0,9,0,0,36,99,11,"directionality"
"7",18,0,45,18,9,0,9,0,0,0,99,11,"directionality"
"8",0,82,0,18,0,0,0,0,0,0,100,11,"directionality"
"9",0,0,45,9,0,18,9,0,18,0,99,11,"directionality"
"10",0,0,56,0,0,22,0,0,22,0,100,9,"directionality"
"11",0,0,0,0,18,0,9,0,27,45,99,11,"directionality"
"12",0,9,9,0,36,9,9,0,9,18,99,11,"directionality"
"13",0,0,0,0,0,100,0,0,0,0,100,2,"directionality"
"14",9,0,0,0,9,0,0,0,45,36,99,11,"directionality"
"15",0,9,18,0,18,0,9,0,9,36,99,11,"directionality"
"16",9,0,0,0,9,9,0,0,64,9,100,11,"directionality"
"17",0,0,25,0,50,25,0,0,0,0,100,4,"directionality"
"18",0,27,9,18,27,0,18,0,0,0,99,11,"directionality"
"19",0,18,27,9,18,0,18,9,0,0,99,11,"directionality"
"20",0,27,0,0,9,0,45,0,0,18,99,11,"directionality"
"21",0,0,36,9,9,18,9,0,18,0,99,11,"directionality"
"22",0,0,0,0,0,0,0,0,100,0,100,11,"directionality"
"23",10,0,20,0,0,10,0,0,60,0,100,10,"directionality"
"24",0,0,10,0,10,0,10,0,50,20,100,10,"directionality"
"25",0,36,9,9,0,9,18,0,0,18,99,11,"directionality"
"26",0,27,9,0,36,9,9,0,0,9,99,11,"directionality"
"27",0,0,30,0,10,20,0,0,30,10,100,10,"directionality"
"28",30,10,20,10,10,0,20,0,0,0,100,10,"directionality"
"29",0,0,0,0,9,0,0,0,45,45,99,11,"directionality"
"30",0,0,9,0,0,0,9,0,82,0,100,11,"directionality"
"31",36,18,18,18,0,0,0,0,9,0,99,11,"directionality"
"32",27,9,0,27,9,0,27,0,0,0,99,11,"directionality"
"33",18,36,9,9,0,0,9,0,0,18,99,11,"directionality"
"34",0,27,18,18,9,0,27,0,0,0,99,11,"directionality"
"35",9,18,18,9,9,9,27,0,0,0,99,11,"directionality"
"36",0,55,9,18,0,0,18,0,0,0,100,11,"directionality"
"37",0,9,9,9,0,0,9,0,18,45,99,11,"directionality"
"38",9,55,18,0,0,0,18,0,0,0,100,11,"directionality"
"39",0,36,0,9,0,9,36,0,9,0,99,11,"directionality"
"40",9,0,0,0,0,9,0,0,27,55,100,11,"directionality"
"41",0,64,9,9,9,0,9,0,0,0,100,11,"directionality"
"42",0,11,22,0,22,0,0,0,44,0,99,9,"directionality"
"43",0,0,9,0,0,9,9,0,73,0,100,11,"directionality"
"44",18,0,9,0,0,0,0,0,45,27,99,11,"directionality"
"45",36,0,9,18,0,0,18,0,18,0,99,11,"directionality"
"46",9,9,18,27,27,0,0,0,9,0,99,11,"directionality"
"47",11,0,67,0,11,0,11,0,0,0,100,9,"directionality"
"48",11,0,56,0,11,0,0,0,22,0,100,9,"directionality"
"49",9,9,9,9,27,0,27,0,0,9,99,11,"directionality"
"50",11,0,67,0,0,0,0,0,22,0,100,9,"directionality"
"51",0,0,0,0,0,27,0,0,73,0,100,11,"directionality"
"52",0,0,22,0,0,0,0,0,78,0,100,9,"directionality"
"53",9,9,18,18,18,0,27,0,0,0,99,11,"directionality"
"54",0,0,9,0,0,0,0,0,91,0,100,11,"directionality"
"55",0,0,11,0,11,0,11,0,56,11,100,9,"directionality"
"56",0,9,18,18,36,0,18,0,0,0,99,11,"directionality"
"57",0,0,9,0,0,0,0,0,82,9,100,11,"directionality"
"58",0,0,18,45,18,0,18,0,0,0,99,11,"directionality"
"59",0,9,9,27,0,0,27,9,18,0,99,11,"directionality"
"60",0,0,9,18,55,0,0,0,18,0,100,11,"directionality"
"61",0,0,0,0,0,100,0,0,0,0,100,1,"directionality"
"62",0,27,0,18,27,0,27,0,0,0,99,11,"directionality"
"63",10,0,20,30,10,10,20,0,0,0,100,10,"directionality"
"64",10,10,10,10,20,0,30,0,10,0,100,10,"directionality"
"65",9,9,0,9,27,9,36,0,0,0,99,11,"directionality"
"66",27,9,0,18,45,0,0,0,0,0,99,11,"directionality"
"67",0,0,18,18,36,0,9,0,9,9,99,11,"directionality"
"68",9,0,27,0,27,9,18,9,0,0,99,11,"directionality"
"69",0,0,27,36,0,0,36,0,0,0,99,11,"directionality"
"70",0,64,0,0,0,0,27,0,0,9,100,11,"directionality"
"71",0,0,56,0,11,11,0,0,22,0,100,9,"directionality"
"72",18,18,0,0,0,0,18,0,45,0,99,11,"directionality"
"73",0,0,33,0,33,33,0,0,0,0,99,3,"directionality"
"74",36,0,18,9,18,0,18,0,0,0,99,11,"directionality"
"75",18,9,9,0,18,0,9,0,0,36,99,11,"directionality"
"76",10,0,20,10,30,0,10,0,20,0,100,10,"directionality"
"77",0,0,36,9,36,0,0,0,18,0,99,11,"directionality"
"78",0,9,0,18,18,0,36,0,18,0,99,11,"directionality"
"79",27,27,0,0,0,0,45,0,0,0,99,11,"directionality"
"80",18,9,18,9,36,0,9,0,0,0,99,11,"directionality"
"81",0,0,0,0,0,67,0,0,33,0,100,3,"directionality"
"82",9,27,0,18,0,0,27,0,18,0,99,11,"directionality"
"83",0,18,0,0,0,0,36,0,27,18,99,11,"directionality"
"84",0,27,45,9,0,0,18,0,0,0,99,11,"directionality"
"85",0,0,9,9,36,0,0,0,45,0,99,11,"directionality"
"86",0,0,0,0,0,0,0,0,100,0,100,11,"directionality"
"87",0,0,60,0,0,0,0,0,30,10,100,10,"directionality"
"88",0,0,62,0,0,0,0,12,25,0,99,8,"directionality"
"90",0,9,9,0,9,0,0,0,27,45,99,11,"directionality"
"91",18,0,9,0,0,0,0,0,73,0,100,11,"directionality"
"92",14,0,14,0,14,29,0,0,29,0,100,7,"directionality"
"93",0,9,0,0,45,0,0,0,45,0,99,11,"directionality"
"94",0,0,33,0,0,0,0,0,67,0,100,3,"directionality"
"95",0,0,67,0,0,0,0,11,22,0,100,9,"directionality"
"96",18,0,0,0,0,0,9,0,73,0,100,11,"directionality"
"98",0,0,57,0,29,0,0,14,0,0,100,7,"directionality"
"99",0,0,100,0,0,0,0,0,0,0,100,1,"directionality"
