"New Flake ID","Bifacial.shaping","Bipolar","Discoid","Core.on.flake","Laminar","Levallois","multidirectional","Platform","Sum","Sum.1","N Analysts","variable"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"2",0,0,0,0,0,50,0,0,50,100,8,"reduction system"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"6",0,0,0,0,0,50,0,0,50,100,8,"reduction system"
"7",0,0,33,0,0,17,0,0,50,100,3,"reduction system"
"8",0,0,0,0,0,50,0,0,50,100,10,"reduction system"
"9",0,0,0,50,0,0,0,0,50,100,1,"reduction system"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"11",0,0,0,0,0,50,0,0,50,100,4,"reduction system"
"12",0,0,40,0,0,10,0,0,50,100,5,"reduction system"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"14",0,0,0,0,0,50,0,0,50,100,5,"reduction system"
"15",0,0,10,0,0,40,0,0,50,100,5,"reduction system"
"16",0,0,0,0,25,25,0,0,50,100,2,"reduction system"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"18",0,0,0,0,0,50,0,0,50,100,2,"reduction system"
"19",0,0,0,0,0,50,0,0,50,100,3,"reduction system"
"20",0,0,0,0,0,50,0,0,50,100,4,"reduction system"
"21",0,50,0,0,0,0,0,0,50,100,2,"reduction system"
"22",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"24",0,0,0,0,0,50,0,0,50,100,6,"reduction system"
"25",0,0,0,0,0,50,0,0,50,100,6,"reduction system"
"26",0,0,33,0,0,17,0,0,50,100,3,"reduction system"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"28",0,0,12,0,0,38,0,0,50,100,4,"reduction system"
"29",0,0,0,0,25,25,0,0,50,100,2,"reduction system"
"30",0,0,0,0,50,0,0,0,50,100,1,"reduction system"
"31",0,0,0,0,0,50,0,0,50,100,9,"reduction system"
"32",0,0,0,0,8,42,0,0,50,100,6,"reduction system"
"33",0,0,0,0,0,50,0,0,50,100,11,"reduction system"
"34",10,0,0,0,0,40,0,0,50,100,5,"reduction system"
"35",0,0,0,0,0,50,0,0,50,100,8,"reduction system"
"36",10,0,0,0,0,40,0,0,50,100,5,"reduction system"
"37",0,0,0,0,0,50,0,0,50,100,9,"reduction system"
"38",0,0,0,0,0,50,0,0,50,100,5,"reduction system"
"39",0,0,0,0,0,50,0,0,50,100,7,"reduction system"
"40",0,0,12,0,0,38,0,0,50,100,4,"reduction system"
"41",0,0,0,0,0,50,0,0,50,100,6,"reduction system"
"42",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"43",0,0,0,0,0,50,0,0,50,100,5,"reduction system"
"44",0,0,0,0,25,25,0,0,50,100,4,"reduction system"
"45",0,0,0,0,0,50,0,0,50,100,3,"reduction system"
"46",0,0,0,0,0,50,0,0,50,100,3,"reduction system"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"49",0,0,0,0,17,33,0,0,50,100,3,"reduction system"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"51",0,0,10,0,0,30,0,10,50,100,5,"reduction system"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"53",0,0,0,0,0,50,0,0,50,100,3,"reduction system"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"57",0,0,0,0,25,25,0,0,50,100,2,"reduction system"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"60",0,0,0,0,25,0,0,25,50,100,2,"reduction system"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"62",0,0,0,0,0,50,0,0,50,100,4,"reduction system"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"64",0,0,0,0,0,50,0,0,50,100,2,"reduction system"
"65",0,0,0,0,0,25,25,0,50,100,2,"reduction system"
"66",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"67",0,0,50,0,0,0,0,0,50,100,1,"reduction system"
"68",0,0,0,0,25,25,0,0,50,100,2,"reduction system"
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"70",0,0,10,0,0,40,0,0,50,100,5,"reduction system"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"72",0,0,12,0,0,25,12,0,50,99,4,"reduction system"
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"74",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"75",0,0,0,0,0,50,0,0,50,100,3,"reduction system"
"76",0,0,0,0,0,0,0,50,50,100,1,"reduction system"
"77",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"78",0,0,0,0,0,50,0,0,50,100,4,"reduction system"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"80",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"82",0,0,0,0,12,38,0,0,50,100,4,"reduction system"
"83",0,0,0,0,0,33,17,0,50,100,3,"reduction system"
"84",0,0,25,0,0,25,0,0,50,100,2,"reduction system"
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"86",0,0,0,0,33,17,0,0,50,100,6,"reduction system"
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"90",50,0,0,0,0,0,0,0,50,100,1,"reduction system"
"91",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"93",0,0,0,0,50,0,0,0,50,100,2,"reduction system"
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"96",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
