variable,data class,image,irr,Lower,Upper
Cortex,continuous,0,0.94,0.87,0.96
Mass,continuous,0,1.00,0.92,1.00
Maximum dimension,continuous,1,0.99,0.92,0.99
Maximum thickness,continuous,1,0.96,0.83,0.98
Maximum width,continuous,1,0.97,0.88,0.98
Platform thickness impact point,continuous,0,0.79,0.59,0.87
Platform thickness maximum,continuous,1,0.78,0.55,0.87
Platform thickness mid point,continuous,0,0.76,0.54,0.85
Platform width,continuous,1,0.85,0.77,0.88
Technological length,continuous,1,0.98,0.97,0.99
Technological maximum thickness,continuous,1,0.91,0.76,0.95
Technological maximum width,continuous,1,0.96,0.85,0.98
Technological thickness distal,continuous,1,0.84,0.72,0.88
Technological thickness mesial,continuous,1,0.93,0.78,0.97
Technological thickness proximal,continuous,1,0.82,0.67,0.88
Technological width distal,continuous,1,0.86,0.70,0.90
Technological width mesial,continuous,1,0.94,0.77,0.97
Technological width proximal,continuous,1,0.94,0.87,0.95
Dorsal scar counts,count,0,0.69,0.77,0.57
Proximal scar counts,count,1,0.62,0.74,0.51
Distal scar counts,count,1,0.51,0.72,0.29
Right scar counts,count,1,0.55,0.71,0.38
Left scar counts,count,1,0.49,0.62,0.31