variable,sub_variable,alpha
reduction_system,Bifacial shaping,-0.003
reduction_system,Bipolar,0.1
reduction_system,Core,-0.001
reduction_system,Discoid,0.09
reduction_system,Indet,0.03
reduction_system,Laminar,0.08
reduction_system,Levallois,0.32
reduction_system,multidirectional,-0.003
reduction_system,Other,-0.03
reduction_system,Platform,-0.003
flake_form,Blade,0.43
flake_form,Convflake,0.5
flake_form,Flake,0.44
flake_form,Indet,-0.002
Completeness,complete,0.61
Completeness,distal,0.55
Completeness,indeterminate,0.13
Completeness,lateral,-0.002
Completeness,left,0.17
Completeness,medial,0.47
Completeness,proximal,0.4
Completeness,right,-0.002
platform_cortex,Absent,0.6
platform_cortex,Complete,0.72
platform_cortex,Indeterminate,0.15
platform_cortex,Partial,0.15
scar_directionality,Bidirectional,0.1
scar_directionality,Centripetal,0.21
scar_directionality,Indeterminate,0.07
scar_directionality,Multidirectional,0.03
scar_directionality,Orthogonal,0.12
scar_directionality,Subcentripetal,0.05
scar_directionality,Unibi,-0.003
scar_directionality,Unidirectional,0.44
scar_directionality,UnidirectionalConvergent,0.21
platform_morphology,ChapeauDeGendarme,0.25
platform_morphology,Cortical,0.67
platform_morphology,Crushed,0.12
platform_morphology,Dihedral,0.47
platform_morphology,Facetted,0.46
platform_morphology,Indeterminate,0.08
platform_morphology,Linear,0.25
platform_morphology,Plain,0.58
platform_morphology,Punctiform,0.05
platform_lipping,Indeterminate,0.1
platform_lipping,no,0.05
platform_lipping,yes,0.03
Bulb,Indeterminate,0.06
Bulb,no,0.3
Bulb,yes,0.4
shattered_bulb,Indeterminate,0.15
shattered_bulb,No,0.19
shattered_bulb,Yes,0.16
Initiation,Bending,0.06
Initiation,Hertzian,0.21
Initiation,Other,0.23
Initiation,Wedging,0.04
ventral_plan_form,Bulbar,0.09
ventral_plan_form,Concave,0.19
ventral_plan_form,Flat,0.18
ventral_plan_form,Twisted,0.26
ventral_plan_form,Very concave,0.1
Section,Domed,0.19
Section,Flat,-0.009
Section,Indeterminate,0.04
Section,Lenticular,0.18
Section,Righttriangle,0.36
Section,Trapezoidal,0.42
Section,Triangular,0.43
lateral_edge,Amorphous,0.15
lateral_edge,Convergent,0.53
lateral_edge,Diamond,0.33
lateral_edge,Divergent,0.5
lateral_edge,Indeterminate,-0.007
lateral_edge,Ovoid,0.31
lateral_edge,Parallel,0.38
lateral_edge,Square,0.04
lateral_edge,Sub-Parallel,-0.02
flake_termination,Axial,0.09
flake_termination,Crushed,0.09
flake_termination,Feather,0.31
flake_termination,Hinge,0.53
flake_termination,Indeterminate,0.03
flake_termination,Overshot,0.12
Kombewa,No,0.15
Kombewa,Yes,0.25
distal_plan_form,Concave,-0.002
distal_plan_form,Flat,0.35
distal_plan_form,Indeterminate,-0.003
distal_plan_form,Irregular,0.24
distal_plan_form,Pointed,0.56
distal_plan_form,Rounded,0.36